1,PET,El tereftalato de polietileno politereftalato de etileno polietilenotereftalato o polietileno tereftalato es un tipo
2,Vidrio,El vidrio es un material inorgánico duro frágil transparente y amorfo que se encuentra en la naturaleza
3,Papel,Material que se presenta como una lámina fina hecha con pasta de fibras vegetales
4,Carton,El cartón es un material formado por varias capas de papel superpuestas a base de fibra virgen o de papel reciclado.
5,Aluminio,El aluminio es un elemento químico de símbolo Al y número atómico 13
